orden_id,linea,producto_id,cantidad_unidades,precio_unitario,descuento_pct
ORD-000264,3,P-0091,29,3.61,8
ORD-002350,4,P-0043,36,4.75,0
ORD-000987,2,P-0102,20,3.38,10
ORD-000054,6,P-0055,44,5.02,0
ORD-003862,3,P-0086,47,6.86,0
ORD-004168,1,P-0001,4,7.47,15
ORD-000358,1,P-0056,22,5.0,10
ORD-004869,3,P-0097,45,5.74,0
ORD-004481,2,P-0112,38,6.27,0
ORD-002363,5,P-0021,12,3.81,5
ORD-004779,2,P-0998,14,2.36,10
ORD-001519,2,P-0053,16,7.62,5
ORD-002431,2,P-0036,16,3.01,15
ORD-004644,3,P-0075,18,5.33,10
ORD-005098,4,P-0080,36,4.4,0
ORD-004749,1,P-0082,4,5.33,0
ORD-000230,3,P-0051,27,4.72,0
ORD-000845,2,P-0064,36,5.92,0
ORD-001914,1,P-0020,15,3.52,15
ORD-002180,5,P-0087,6,3.75,8
ORD-005478,3,P-0073,12,5.27,15
ORD-001483,5,P-0006,30,4.72,5
ORD-002269,4,P-0073,10,5.27,10
ORD-004224,3,P-0008,9,3.5,0
ORD-001152,1,P-0017,20,3.46,0
ORD-003781,3,P-0098,11,4.66,0
ORD-002595,3,P-0041,43,6.35,0
ORD-002119,1,P-0015,12,3.23,10
ORD-005602,5,P-0079,19,6.67,10
ORD-003528,2,P-0055,30,4.87,15
ORD-003494,5,P-0036,6,3.27,0
ORD-001956,1,P-0074,19,6.76,5
ORD-002759,2,P-0027,-11,3.95,15
ORD-002873,2,P-0115,4,2.76,10
ORD-003875,2,P-0071,6,8.7,15
ORD-000651,3,P-0004,14,5.93,0
ORD-004369,3,P-0108,9,2.2,0
ORD-005074,1,P-0023,21,2.32,0
ORD-005178,3,P-0113,8,2.73,0
ORD-002825,1,P-0070,9,0.0,5
ORD-003630,4,P-0097,7,5.61,15
ORD-001803,4,P-0036,38,3.07,5
ORD-002683,3,P-0062,45,2.53,8
ORD-004326,1,P-0074,46,7.12,0
