orden_id,linea,producto_id,cantidad_unidades,precio_unitario,descuento_pct,new_key,es_duplicado,new_key_original
ORD-000264,3,P-0091,29,3.61,8,ORD-000264_P-0091_3_29_3.61,False,
ORD-002350,4,P-0043,36,4.75,0,ORD-002350_P-0043_4_36_4.75,False,
ORD-000987,2,P-0102,20,3.38,10,ORD-000987_P-0102_2_20_3.38,False,
ORD-000054,6,P-0055,44,5.02,0,ORD-000054_P-0055_6_44_5.02,False,
ORD-003862,3,P-0086,47,6.86,0,ORD-003862_P-0086_3_47_6.86,False,
ORD-004168,1,P-0001,4,7.47,15,ORD-004168_P-0001_1_4_7.47,False,
ORD-000358,1,P-0056,22,5.0,10,ORD-000358_P-0056_1_22_5.0,False,
ORD-004869,3,P-0097,45,5.74,0,ORD-004869_P-0097_3_45_5.74,False,
ORD-004481,2,P-0112,38,6.27,0,ORD-004481_P-0112_2_38_6.27,False,
ORD-002363,5,P-0021,12,3.81,5,ORD-002363_P-0021_5_12_3.81,False,
ORD-004779,2,P-0998,14,2.36,10,ORD-004779_P-0998_2_14_2.36,False,
ORD-001519,2,P-0053,16,7.62,5,ORD-001519_P-0053_2_16_7.62,False,
ORD-002431,2,P-0036,16,3.01,15,ORD-002431_P-0036_2_16_3.01,False,
ORD-004644,3,P-0075,18,5.33,10,ORD-004644_P-0075_3_18_5.33,False,
ORD-005098,4,P-0080,36,4.4,0,ORD-005098_P-0080_4_36_4.4,False,
ORD-004749,1,P-0082,4,5.33,0,ORD-004749_P-0082_1_4_5.33,False,
ORD-000230,3,P-0051,27,4.72,0,ORD-000230_P-0051_3_27_4.72,False,
ORD-000845,2,P-0064,36,5.92,0,ORD-000845_P-0064_2_36_5.92,False,
ORD-001914,1,P-0020,15,3.52,15,ORD-001914_P-0020_1_15_3.52,False,
ORD-002180,5,P-0087,6,3.75,8,ORD-002180_P-0087_5_6_3.75,False,
ORD-005478,3,P-0073,12,5.27,15,ORD-005478_P-0073_3_12_5.27,False,
ORD-001483,5,P-0006,30,4.72,5,ORD-001483_P-0006_5_30_4.72,False,
ORD-002269,4,P-0073,10,5.27,10,ORD-002269_P-0073_4_10_5.27,False,
ORD-004224,3,P-0008,9,3.5,0,ORD-004224_P-0008_3_9_3.5,False,
ORD-001152,1,P-0017,20,3.46,0,ORD-001152_P-0017_1_20_3.46,False,
ORD-003781,3,P-0098,11,4.66,0,ORD-003781_P-0098_3_11_4.66,False,
ORD-002595,3,P-0041,43,6.35,0,ORD-002595_P-0041_3_43_6.35,False,
ORD-002119,1,P-0015,12,3.23,10,ORD-002119_P-0015_1_12_3.23,False,
ORD-005602,5,P-0079,19,6.67,10,ORD-005602_P-0079_5_19_6.67,False,
ORD-003528,2,P-0055,30,4.87,15,ORD-003528_P-0055_2_30_4.87,False,
ORD-003494,5,P-0036,6,3.27,0,ORD-003494_P-0036_5_6_3.27,False,
ORD-001956,1,P-0074,19,6.76,5,ORD-001956_P-0074_1_19_6.76,False,
ORD-002873,2,P-0115,4,2.76,10,ORD-002873_P-0115_2_4_2.76,False,
ORD-003875,2,P-0071,6,8.7,15,ORD-003875_P-0071_2_6_8.7,False,
ORD-000651,3,P-0004,14,5.93,0,ORD-000651_P-0004_3_14_5.93,False,
ORD-004369,3,P-0108,9,2.2,0,ORD-004369_P-0108_3_9_2.2,False,
ORD-005074,1,P-0023,21,2.32,0,ORD-005074_P-0023_1_21_2.32,False,
ORD-005178,3,P-0113,8,2.73,0,ORD-005178_P-0113_3_8_2.73,False,
ORD-003630,4,P-0097,7,5.61,15,ORD-003630_P-0097_4_7_5.61,False,
ORD-001803,4,P-0036,38,3.07,5,ORD-001803_P-0036_4_38_3.07,False,
ORD-002683,3,P-0062,45,2.53,8,ORD-002683_P-0062_3_45_2.53,False,
ORD-004326,1,P-0074,46,7.12,0,ORD-004326_P-0074_1_46_7.12,False,
ORD-005480,3,P-0104,7,3.98,15,ORD-005480_P-0104_3_7_3.98,False,
ORD-005480,4,P-0063,36,5.04,15,ORD-005480_P-0063_4_36_5.04,False,
ORD-001343,3,P-0068,40,1.52,10,ORD-001343_P-0068_3_40_1.52,False,
ORD-002074,2,P-0032,29,6.38,8,ORD-002074_P-0032_2_29_6.38,False,
ORD-004549,2,P-0069,14,1.53,10,ORD-004549_P-0069_2_14_1.53,False,
ORD-003494,1,P-0098,34,4.34,10,ORD-003494_P-0098_1_34_4.34,False,
ORD-004498,1,P-0053,38,7.43,0,ORD-004498_P-0053_1_38_7.43,False,
ORD-004308,3,P-0040,22,6.68,15,ORD-004308_P-0040_3_22_6.68,False,
ORD-005054,2,P-0093,43,5.32,15,ORD-005054_P-0093_2_43_5.32,False,
ORD-001687,4,P-0019,19,3.42,8,ORD-001687_P-0019_4_19_3.42,False,
ORD-003607,1,P-0027,34,3.81,0,ORD-003607_P-0027_1_34_3.81,False,
ORD-005236,4,P-0052,17,3.81,0,ORD-005236_P-0052_4_17_3.81,False,
ORD-000175,2,P-0083,13,3.6,15,ORD-000175_P-0083_2_13_3.6,False,
ORD-004639,2,P-0028,5,6.72,8,ORD-004639_P-0028_2_5_6.72,False,
ORD-001186,2,P-0111,28,3.65,0,ORD-001186_P-0111_2_28_3.65,False,
ORD-001432,2,P-0106,35,4.37,0,ORD-001432_P-0106_2_35_4.37,False,
ORD-000812,3,P-0119,9,4.43,0,ORD-000812_P-0119_3_9_4.43,False,
ORD-005064,5,P-0098,10,4.46,5,ORD-005064_P-0098_5_10_4.46,False,
ORD-004927,1,P-0019,7,3.4,0,ORD-004927_P-0019_1_7_3.4,False,
ORD-005152,4,P-0103,8,3.68,5,ORD-005152_P-0103_4_8_3.68,False,
ORD-001278,3,P-0093,48,5.33,5,ORD-001278_P-0093_3_48_5.33,False,
ORD-004320,6,P-0050,32,4.22,10,ORD-004320_P-0050_6_32_4.22,False,
ORD-003048,3,P-0031,42,2.98,0,ORD-003048_P-0031_3_42_2.98,False,
ORD-001259,1,P-0079,28,6.58,0,ORD-001259_P-0079_1_28_6.58,False,
ORD-002577,5,P-0076,23,2.39,0,ORD-002577_P-0076_5_23_2.39,False,
ORD-000194,3,P-0066,31,2.81,0,ORD-000194_P-0066_3_31_2.81,False,
ORD-001632,5,P-0097,41,5.82,10,ORD-001632_P-0097_5_41_5.82,False,
ORD-004436,1,P-0120,26,4.63,0,ORD-004436_P-0120_1_26_4.63,False,
ORD-004600,2,P-0119,5,4.39,0,ORD-004600_P-0119_2_5_4.39,False,
ORD-003700,4,P-0067,17,6.15,10,ORD-003700_P-0067_4_17_6.15,False,
ORD-002042,4,P-0015,37,3.46,15,ORD-002042_P-0015_4_37_3.46,False,
ORD-002124,2,P-0043,44,4.87,0,ORD-002124_P-0043_2_44_4.87,False,
ORD-000945,2,P-0049,46,2.41,5,ORD-000945_P-0049_2_46_2.41,False,
ORD-002207,6,P-0119,23,4.36,5,ORD-002207_P-0119_6_23_4.36,False,
ORD-004101,3,P-0056,33,4.7,0,ORD-004101_P-0056_3_33_4.7,False,
ORD-001033,3,P-0111,4,3.61,10,ORD-001033_P-0111_3_4_3.61,False,
ORD-000247,1,P-0112,24,6.16,10,ORD-000247_P-0112_1_24_6.16,False,
ORD-003647,1,P-0075,36,5.54,15,ORD-003647_P-0075_1_36_5.54,False,
ORD-000147,3,P-0076,5,2.36,0,ORD-000147_P-0076_3_5_2.36,False,
ORD-004024,1,P-0111,20,3.76,0,ORD-004024_P-0111_1_20_3.76,False,
ORD-000420,3,P-0025,46,2.97,0,ORD-000420_P-0025_3_46_2.97,False,
