orden_id,linea,producto_id,cantidad_unidades,precio_unitario,descuento_pct,new_key,es_duplicado,new_key_original,motivo_rechazo
ORD-002759,2,P-0027,-11,3.95,15,ORD-002759_P-0027_2_-11_3.95,False,,cantidad_unidades: debe ser > 0 (valor: -11)
ORD-002825,1,P-0070,9,0.0,5,ORD-002825_P-0070_1_9_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-001607,2,P-0067,46,0.0,5,ORD-001607_P-0067_2_46_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-003545,2,P-0088,-3,4.49,0,ORD-003545_P-0088_2_-3_4.49,False,,cantidad_unidades: debe ser > 0 (valor: -3)
ORD-000748,2,P-0091,41,0.0,0,ORD-000748_P-0091_2_41_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-000470,4,P-0037,39,0.0,10,ORD-000470_P-0037_4_39_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-004421,2,P-0119,48,0.0,0,ORD-004421_P-0119_2_48_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-004564,4,P-0113,-9,2.74,0,ORD-004564_P-0113_4_-9_2.74,False,,cantidad_unidades: debe ser > 0 (valor: -9)
ORD-001874,2,P-0049,27,0.0,10,ORD-001874_P-0049_2_27_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-001491,3,P-0053,19,0.0,5,ORD-001491_P-0053_3_19_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-005148,5,P-0118,-10,4.69,0,ORD-005148_P-0118_5_-10_4.69,False,,cantidad_unidades: debe ser > 0 (valor: -10)
ORD-002823,1,P-0119,34,0.0,0,ORD-002823_P-0119_1_34_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-003742,1,P-0045,13,0.0,10,ORD-003742_P-0045_1_13_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-004809,1,P-0060,46,0.0,0,ORD-004809_P-0060_1_46_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-004616,3,P-0075,23,0.0,10,ORD-004616_P-0075_3_23_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-004772,4,P-0113,41,0.0,0,ORD-004772_P-0113_4_41_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-003815,2,P-0095,-5,4.16,15,ORD-003815_P-0095_2_-5_4.16,False,,cantidad_unidades: debe ser > 0 (valor: -5)
ORD-003571,1,P-0053,-5,7.08,0,ORD-003571_P-0053_1_-5_7.08,False,,cantidad_unidades: debe ser > 0 (valor: -5)
ORD-005251,1,P-0109,46,0.0,5,ORD-005251_P-0109_1_46_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-004783,2,P-0096,37,0.0,10,ORD-004783_P-0096_2_37_0.0,False,,precio_unitario: debe ser > 0 (valor: 0.0)
ORD-003813,1,P-0039,-8,6.66,0,ORD-003813_P-0039_1_-8_6.66,False,,cantidad_unidades: debe ser > 0 (valor: -8)
