cliente_id,nombre_comercial,canal,region,distrito,fecha_alta,estado,metadatos_json,source_file,load_date,update_date,loaded_by,is_active
C00001,Bodega Ramos 115,bodega,callao,cercado,2018-04-13,ACTIVO,"{""nombre_archivo"": ""clientes_cleaned.csv"", ""numero_filas"": 820, ""fecha_carga"": ""2026-06-22 00:45:06""}",clientes_cleaned.csv,2026-06-22 00:45:06.135214,2026-06-22 00:45:06.136218,proceso_etl_python,1
C00002,Restaurante Ramos 759,restaurante/bar,lima sur,comas,2024-02-12,ACTIVO,"{""nombre_archivo"": ""clientes_cleaned.csv"", ""numero_filas"": 820, ""fecha_carga"": ""2026-06-22 00:45:06""}",clientes_cleaned.csv,2026-06-22 00:45:06.135214,2026-06-22 00:45:06.136218,proceso_etl_python,1
C00003,Minimarket García 239,minimarket,lima norte,los olivos,2023-09-01,ACTIVO,"{""nombre_archivo"": ""clientes_cleaned.csv"", ""numero_filas"": 820, ""fecha_carga"": ""2026-06-22 00:45:06""}",clientes_cleaned.csv,2026-06-22 00:45:06.135214,2026-06-22 00:45:06.136218,proceso_etl_python,1
C00004,Bodega Castillo 430,bodega,piura,villa el salvador,2020-06-21,INACTIVO,"{""nombre_archivo"": ""clientes_cleaned.csv"", ""numero_filas"": 820, ""fecha_carga"": ""2026-06-22 00:45:06""}",clientes_cleaned.csv,2026-06-22 00:45:06.135214,2026-06-22 00:45:06.136218,proceso_etl_python,1
C00005,Bodega Díaz 826,bodega,trujillo,cercado,2019-10-16,ACTIVO,"{""nombre_archivo"": ""clientes_cleaned.csv"", ""numero_filas"": 820, ""fecha_carga"": ""2026-06-22 00:45:06""}",clientes_cleaned.csv,2026-06-22 00:45:06.135214,2026-06-22 00:45:06.136218,proceso_etl_python,1
C00006,Bodega Díaz 345,bodega,lima sur,cayma,2019-02-23,ACTIVO,"{""nombre_archivo"": ""clientes_cleaned.csv"", ""numero_filas"": 820, ""fecha_carga"": ""2026-06-22 00:45:06""}",clientes_cleaned.csv,2026-06-22 00:45:06.135214,2026-06-22 00:45:06.136218,proceso_etl_python,1
C00007,Bodega Vargas 271,bodega,piura,la esperanza,2018-06-27,ACTIVO,"{""nombre_archivo"": ""clientes_cleaned.csv"", ""numero_filas"": 820, ""fecha_carga"": ""2026-06-22 00:45:06""}",clientes_cleaned.csv,2026-06-22 00:45:06.135214,2026-06-22 00:45:06.136218,proceso_etl_python,1
C00008,Restaurante Castillo 301,restaurante/bar,arequipa,los olivos,2025-01-18,ACTIVO,"{""nombre_archivo"": ""clientes_cleaned.csv"", ""numero_filas"": 820, ""fecha_carga"": ""2026-06-22 00:45:06""}",clientes_cleaned.csv,2026-06-22 00:45:06.135214,2026-06-22 00:45:06.136218,proceso_etl_python,1
C00009,Bodega Ramos 234,bodega,lima sur,paucarpata,2021-03-31,ACTIVO,"{""nombre_archivo"": ""clientes_cleaned.csv"", ""numero_filas"": 820, ""fecha_carga"": ""2026-06-22 00:45:06""}",clientes_cleaned.csv,2026-06-22 00:45:06.135214,2026-06-22 00:45:06.136218,proceso_etl_python,1
C00010,Minimarket Rojas 465,minimarket,arequipa,cayma,2025-02-16,ACTIVO,"{""nombre_archivo"": ""clientes_cleaned.csv"", ""numero_filas"": 820, ""fecha_carga"": ""2026-06-22 00:45:06""}",clientes_cleaned.csv,2026-06-22 00:45:06.135214,2026-06-22 00:45:06.136218,proceso_etl_python,1
