orden_id,cliente_id,fecha_pedido,fecha_entrega,fecha_proceso,canal_venta,estado,monto_total,metadatos_json,source_file,load_date,update_date,loaded_by,is_active
ORD-004432,C00007,2026-02-01,2026-02-04,2026-02-06,DISTRIBUIDOR,ENTREGADO,17.38,"{""nombre_archivo"": ""ordenes_cleaned.csv"", ""numero_filas"": 5602, ""fecha_carga"": ""2026-06-21 19:34:03""}",ordenes_cleaned.csv,2026-06-21 19:34:03.440019,2026-06-21 19:34:03.440399,proceso_etl_python,1
ORD-003518,C00550,2025-12-04,2025-12-06,2025-12-07,APP B2B,ENTREGADO,394.32,"{""nombre_archivo"": ""ordenes_cleaned.csv"", ""numero_filas"": 5602, ""fecha_carga"": ""2026-06-21 19:34:03""}",ordenes_cleaned.csv,2026-06-21 19:34:03.440019,2026-06-21 19:34:03.440399,proceso_etl_python,1
ORD-003064,C00040,2025-12-06,2025-12-06,2025-12-06,VENDEDOR,ENTREGADO,438.4,"{""nombre_archivo"": ""ordenes_cleaned.csv"", ""numero_filas"": 5602, ""fecha_carga"": ""2026-06-21 19:34:03""}",ordenes_cleaned.csv,2026-06-21 19:34:03.440019,2026-06-21 19:34:03.440399,proceso_etl_python,1
ORD-004048,C00097,2026-02-25,2026-02-28,2026-02-28,APP B2B,ENTREGADO,680.92,"{""nombre_archivo"": ""ordenes_cleaned.csv"", ""numero_filas"": 5602, ""fecha_carga"": ""2026-06-21 19:34:03""}",ordenes_cleaned.csv,2026-06-21 19:34:03.440019,2026-06-21 19:34:03.440399,proceso_etl_python,1
ORD-003039,C00232,2025-12-30,2026-01-02,2026-01-02,VENDEDOR,ENTREGADO,18.44,"{""nombre_archivo"": ""ordenes_cleaned.csv"", ""numero_filas"": 5602, ""fecha_carga"": ""2026-06-21 19:34:03""}",ordenes_cleaned.csv,2026-06-21 19:34:03.440019,2026-06-21 19:34:03.440399,proceso_etl_python,1
ORD-005230,C00093,2026-04-29,2026-04-29,2026-04-30,VENDEDOR,DEVUELTO,280.54,"{""nombre_archivo"": ""ordenes_cleaned.csv"", ""numero_filas"": 5602, ""fecha_carga"": ""2026-06-21 19:34:03""}",ordenes_cleaned.csv,2026-06-21 19:34:03.440019,2026-06-21 19:34:03.440399,proceso_etl_python,1
ORD-003860,C00496,2026-01-21,2026-01-22,2026-01-27,DISTRIBUIDOR,ENTREGADO,791.43,"{""nombre_archivo"": ""ordenes_cleaned.csv"", ""numero_filas"": 5602, ""fecha_carga"": ""2026-06-21 19:34:03""}",ordenes_cleaned.csv,2026-06-21 19:34:03.440019,2026-06-21 19:34:03.440399,proceso_etl_python,1
ORD-002799,C00636,2025-11-17,2025-11-19,2025-11-20,VENDEDOR,ENTREGADO,514.47,"{""nombre_archivo"": ""ordenes_cleaned.csv"", ""numero_filas"": 5602, ""fecha_carga"": ""2026-06-21 19:34:03""}",ordenes_cleaned.csv,2026-06-21 19:34:03.440019,2026-06-21 19:34:03.440399,proceso_etl_python,1
ORD-001356,C00014,2025-08-10,2025-08-10,2025-08-10,APP B2B,ENTREGADO,498.52,"{""nombre_archivo"": ""ordenes_cleaned.csv"", ""numero_filas"": 5602, ""fecha_carga"": ""2026-06-21 19:34:03""}",ordenes_cleaned.csv,2026-06-21 19:34:03.440019,2026-06-21 19:34:03.440399,proceso_etl_python,1
ORD-001170,C00293,2025-08-18,2025-08-21,2025-08-22,VENDEDOR,ENTREGADO,552.05,"{""nombre_archivo"": ""ordenes_cleaned.csv"", ""numero_filas"": 5602, ""fecha_carga"": ""2026-06-21 19:34:03""}",ordenes_cleaned.csv,2026-06-21 19:34:03.440019,2026-06-21 19:34:03.440399,proceso_etl_python,1
